Date : 2026-01-30 15:58:07
Directory : c:\tojiro\programming\AG\MyLogV2
Total : 109 files,  19487 codes, 672 comments, 1410 blanks, all 21569 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |     12,224 |          0 |          2 |     12,226 |
| TypeScript JSX     |         46 |      3,893 |        366 |        713 |      4,972 |
| TypeScript         |         31 |      2,002 |        275 |        421 |      2,698 |
| Markdown           |         24 |      1,273 |          0 |        253 |      1,526 |
| JavaScript         |          2 |         52 |         31 |         17 |        100 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| CSS                |          1 |          9 |          0 |          3 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        109 |     19,487 |        672 |      1,410 |     21,569 |
| . (Files)                                                                                       |          8 |     12,312 |         32 |         24 |     12,368 |
| .agent                                                                                          |          9 |        252 |          0 |         73 |        325 |
| .agent (Files)                                                                                  |          1 |         48 |          0 |         11 |         59 |
| .agent\manual-skills                                                                            |          5 |        107 |          0 |         39 |        146 |
| .agent\manual-skills\cleanup-project                                                            |          1 |         16 |          0 |          3 |         19 |
| .agent\manual-skills\lightSAT-DD                                                                |          1 |         42 |          0 |         22 |         64 |
| .agent\manual-skills\planning                                                                   |          1 |         12 |          0 |          6 |         18 |
| .agent\manual-skills\spec-update                                                                |          1 |         14 |          0 |          3 |         17 |
| .agent\manual-skills\test-optimization                                                          |          1 |         23 |          0 |          5 |         28 |
| .agent\skills                                                                                   |          3 |         97 |          0 |         23 |        120 |
| .agent\skills\guideline                                                                         |          1 |         31 |          0 |          6 |         37 |
| .agent\skills\investigate                                                                       |          1 |         21 |          0 |          6 |         27 |
| .agent\skills\ui-spec-template                                                                  |          1 |         45 |          0 |         11 |         56 |
| app                                                                                             |         75 |      5,832 |        635 |      1,127 |      7,594 |
| app (Files)                                                                                     |          3 |        142 |          8 |         22 |        172 |
| app\components                                                                                  |         39 |      3,525 |        342 |        646 |      4,513 |
| app\components\CardList                                                                         |          4 |        325 |         23 |         49 |        397 |
| app\components\Filter                                                                           |          1 |        196 |          9 |         19 |        224 |
| app\components\Footer                                                                           |          5 |        158 |          5 |         24 |        187 |
| app\components\Header                                                                           |          6 |        324 |         11 |         45 |        380 |
| app\components\card                                                                             |         11 |      1,087 |        184 |        264 |      1,535 |
| app\components\cell                                                                             |         10 |      1,014 |         91 |        188 |      1,293 |
| app\components\db-viewer                                                                        |          2 |        421 |         19 |         57 |        497 |
| app\contexts                                                                                    |          7 |        556 |         79 |        132 |        767 |
| app\hooks                                                                                       |          5 |        281 |         29 |         65 |        375 |
| app\lib                                                                                         |         21 |      1,328 |        177 |        262 |      1,767 |
| app\lib (Files)                                                                                 |          1 |          5 |          0 |          2 |          7 |
| app\lib\db                                                                                      |          4 |        425 |         48 |         91 |        564 |
| app\lib\filter                                                                                  |          2 |        250 |         24 |         28 |        302 |
| app\lib\hooks                                                                                   |          1 |         29 |          8 |          9 |         46 |
| app\lib\models                                                                                  |          3 |        184 |         17 |         28 |        229 |
| app\lib\rarity                                                                                  |          3 |        123 |         15 |         24 |        162 |
| app\lib\services                                                                                |          6 |        283 |         64 |         74 |        421 |
| app\lib\services (Files)                                                                        |          2 |         40 |          9 |         14 |         63 |
| app\lib\services\estimation                                                                     |          4 |        243 |         55 |         60 |        358 |
| app\lib\utils                                                                                   |          1 |         29 |          1 |          6 |         36 |
| docs                                                                                            |         15 |      1,021 |          0 |        180 |      1,201 |
| docs\specs                                                                                      |         15 |      1,021 |          0 |        180 |      1,201 |
| public                                                                                          |          1 |         23 |          0 |          0 |         23 |
| test                                                                                            |          1 |         47 |          5 |          6 |         58 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\tojiro\programming\AG\MyLogV2\.agent\SkillGuid.md                                            | Markdown           |         48 |          0 |         11 |         59 |
| c:\tojiro\programming\AG\MyLogV2\.agent\manual-skills\cleanup-project\SKILL.md                  | Markdown           |         16 |          0 |          3 |         19 |
| c:\tojiro\programming\AG\MyLogV2\.agent\manual-skills\lightSAT-DD\SKILL.md                      | Markdown           |         42 |          0 |         22 |         64 |
| c:\tojiro\programming\AG\MyLogV2\.agent\manual-skills\planning\SKILL.md                         | Markdown           |         12 |          0 |          6 |         18 |
| c:\tojiro\programming\AG\MyLogV2\.agent\manual-skills\spec-update\SKILL.md                      | Markdown           |         14 |          0 |          3 |         17 |
| c:\tojiro\programming\AG\MyLogV2\.agent\manual-skills\test-optimization\SKILL.md                | Markdown           |         23 |          0 |          5 |         28 |
| c:\tojiro\programming\AG\MyLogV2\.agent\skills\guideline\SKILL.md                               | Markdown           |         31 |          0 |          6 |         37 |
| c:\tojiro\programming\AG\MyLogV2\.agent\skills\investigate\SKILL.md                             | Markdown           |         21 |          0 |          6 |         27 |
| c:\tojiro\programming\AG\MyLogV2\.agent\skills\ui-spec-template\SKILL.md                        | Markdown           |         45 |          0 |         11 |         56 |
| c:\tojiro\programming\AG\MyLogV2\app\components\CardList\CardAddButton.test.tsx                 | TypeScript JSX     |         43 |          3 |          8 |         54 |
| c:\tojiro\programming\AG\MyLogV2\app\components\CardList\CardAddButton.tsx                      | TypeScript JSX     |         50 |          0 |          5 |         55 |
| c:\tojiro\programming\AG\MyLogV2\app\components\CardList\CardList.test.tsx                      | TypeScript JSX     |        121 |          4 |         22 |        147 |
| c:\tojiro\programming\AG\MyLogV2\app\components\CardList\CardList.tsx                           | TypeScript JSX     |        111 |         16 |         14 |        141 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Filter\FilterDialog.tsx                         | TypeScript JSX     |        196 |          9 |         19 |        224 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\FilterButton.tsx                         | TypeScript JSX     |         42 |          0 |          5 |         47 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\Footer.tsx                               | TypeScript JSX     |         48 |          5 |         10 |         63 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\FooterButton.tsx                         | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\SortButton.tsx                           | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Footer\ViewModeButton.tsx                       | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\Header.test.tsx                          | TypeScript JSX     |         84 |          9 |         13 |        106 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\Header.tsx                               | TypeScript JSX     |         55 |          0 |          7 |         62 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderActions.tsx                        | TypeScript JSX     |         50 |          0 |          4 |         54 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderStatus.test.tsx                    | TypeScript JSX     |         59 |          0 |          9 |         68 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderStatus.tsx                         | TypeScript JSX     |         45 |          0 |          5 |         50 |
| c:\tojiro\programming\AG\MyLogV2\app\components\Header\HeaderTitle.tsx                          | TypeScript JSX     |         31 |          2 |          7 |         40 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\Card.test.tsx                              | TypeScript JSX     |        188 |         44 |         52 |        284 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\Card.tsx                                   | TypeScript JSX     |        180 |         11 |         30 |        221 |
| c:\tojiro\programming\AG\MyLogV2\app\components\card\CardDisplay.test.tsx                       | TypeScript JSX     |         55 |         30 |         16 |        101 |
